E_COLI,COLI_FEC,pH_CAMPO,TEMP_AGUA,COT,DBO_TOT,DQO_TOT,N_TOT,P_TOT,COLOR_VER,TRANSPARENCIA,ABS_UV,SST,TURBIEDAD,AS_TOT,HG_TOT,PB_TOT,DUR_TOT,CONDUC_CAMPO,OD_.,SEMAFORO
1,1,7,25,1,1,0,1,1,5,0.93,0.34814,1,12.1,1,1,1,36.14,140,74.53333333,1
1,1,7,24,1,1,1,1,1,5,0.66,0.22715,1,3,1,1,1,55.42,138.95,63.06666667,0
1,1,7,22,1,1,0,1,1,5,0.93,0.34814,1,9.4,1,1,1,36.14,140,74.53333333,1
1,1,7,26,1,1,0,1,1,5,0.93,0.34814,1,15,1,1,1,36.14,140,77.83333333,1
1,1,7,25,1,1,0,1,1,5,0.93,0.34814,1,13.2,1,1,1,36.14,140,74.53333333,1
1,1,7.92,27,1,1,1,1,1,20,5.5,0.009,1,2.5,1,1,1,83.3284,142.8666667,10,0
1,1,8.633333333,27,1,1,1,1,1,5,3.5,0.009,1,2.5,1,1,1,59.784,172.3333333,82.3,0
1,1,8.4,25,1,1,0,1,1,12.5,2.5,0.122,1,6.5,1,0,1,81.632,170.6666667,73.96666667,1
1,0,7.866666667,27,1,1,1,1,1,20,2.5,0.148,1,2.5,1,1,1,51,175,78.73333333,0
1,1,8.4,25,1,1,0,1,1,10,4,0.173,1,2.5,1,0,1,57,132,56.1,1
1,1,8.066666667,27,1,1,1,1,1,10,2.2,0.151,1,2.8,1,1,1,41.53,147.8333333,62.86666667,0
1,1,7.933333333,27,1,1,1,1,1,15,3,0.185,1,2.5,1,0,1,43.83,164.9666667,57.6,0
1,1,7.666666667,27,1,1,1,1,1,13,3.1,0.14591,1,2.5,1,1,1,45.9,113.1333333,65.8,0
1,1,8.566666667,27,1,1,1,1,1,13,1.2,0.17966,1,2.7,1,1,1,37.15,138.3333333,98.96666667,0
1,1,8.533333333,27,1,1,1,1,1,25,0.49,0.14302,1,2.5,1,1,1,41.49,137.5333333,71.16666667,0
1,1,8.933333333,25,1,1,0,1,1,8,0.35,0.13081,1,2.5,1,1,1,40.87,149.6,84.26666667,1
1,1,7.733333333,27,1,1,1,1,1,13,1.66,0.14591,1,2.5,1,1,1,43.31,131.5333333,63.06666667,0
1,1,8.633333333,27,1,1,1,1,1,10,1.15,0.18643,1,5,1,1,1,40.01,151.8333333,94.56666667,0
1,1,7.466666667,25,1,1,0,1,1,15,0.55,0.19283,1,65,1,1,1,39.95,167.6666667,65.16666667,1
1,1,9.033333333,25,1,1,0,1,1,10,1.15,0.15965,1,2.5,1,1,1,46.17,123,102.2,1
1,1,8.733333333,27,1,1,1,1,1,5,1.85,0.151,1,2.5,1,1,1,43.78,154,66.93333333,0
1,1,7,17,1,1,0,1,1,5,0.93,0.34814,1,2.5,1,1,1,36.14,140,74.53333333,1
1,1,7.77,27,1,1,1,1,1,15,5.02,0.009,1,2.5,1,1,1,46.7452,144.5,82.3,0
1,1,8.633333333,27,1,1,1,1,1,5,2.5,0.009,1,2.5,1,1,1,51.8128,171.3333333,71.16666667,0
1,1,9.033333333,25,1,1,0,1,1,15,2.3,0.133,1,2.5,1,1,1,73.469,158.3333333,96.63333333,1
1,1,8.266666667,27,1,1,1,1,1,25,2.1,0.149,1,2.5,1,1,1,53,179.6666667,88.13333333,0
