TIPO CUERPO DE AGUA,TOX_V_15_UT (NORMAL),E_COLI,COLI_FEC,pH_CAMPO,TEMP_AGUA,COT,DBO_TOT,DQO_TOT,N_TOT,P_TOT,COLOR_VER,ABS_UV,SST,TURBIEDAD,AS_TOT,HG_TOT,PB_TOT,DUR_TOT,CONDUC_CAMPO,OD_%
LÓTICO,1,1,1,8.73,17.3,1,1,0,1,1,20,0.0171,1,3.2,0,1,1,309.2436,4220,33.1
LÓTICO,0,1,1,8.73,17.3,1,1,0,1,1,5,0.0101,1,2.5,1,0,1,177.676,4220,33.1
LÓTICO,0,1,1,8.28,17.7,1,1,0,1,1,20,0.0129,1,40,1,0,1,183.874,3940,46.9
LÓTICO,0,0,0,7.56,23,0,0,0,0,1,400,0.0714,0,95,0,0,1,243.6928,2180,10
LÓTICO,0,0,0,7.63,20.1,0,0,0,0,1,250,0.009,0,85,1,0,1,239.8232,1397,10
LÓTICO,0,0,0,7.21,21.1,0,0,0,0,0,300,,0,39,1,1,0,262.4076,2240,12
LÓTICO,0,0,0,7.24,21.6,0,0,0,0,1,375,,0,490,1,0,1,315.2242,2385,12
LÓTICO,0,0,0,7.55,25.8,0,0,0,0,1,125,0.4123,1,400,1,0,1,202.86,1556,12
LÓTICO,0,0,0,7.16,25.4,0,0,0,0,1,375,0.8599,1,110,1,0,1,292.011,1841,12
LÓTICO,0,0,0,6.72,24.5,0,0,0,0,1,150,0.185,0,100,1,0,1,174.696,1411,12
LÓTICO,0,0,0,7.05,24.4,0,0,0,0,0,200,1.126,0,350,0,0,1,277.464,2024,12
LÓTICO,0,0,0,7.02,21.4,0,0,0,0,1,250,0.83,1,150,0,0,1,288.82,2124,10
LÓTICO,0,0,0,8.2,22.8,0,0,0,0,1,125,0.658,0,150,1,0,1,247.9,2036,14.3
LÓTICO,0,0,0,7.5,22.7,0,0,0,0,1,187.5,0.461,0,250,1,0,1,311.1,2000,14.4
LÓTICO,1,0,0,7.7,21,0,0,0,0,1,625,0.478,1,90,0,0,1,274.2,1846,14.2
LÓTICO,1,0,0,7.3,21,1,0,0,1,1,312.5,0.009,0,155,0,1,1,109.3,589,36.5
LÓTICO,0,0,0,7.3,24.4,0,0,0,0,1,375,1.045,0,170,0,0,1,204.9,1612,18.8
LÓTICO,1,0,0,7.1,22.6,0,0,0,0,0,250,0.225,0,160,1,1,1,100.1,2052,12.6
LÓTICO,1,0,0,7.4,22.8,0,0,0,0,1,75,1.279,0,130,1,1,1,229.05,1661,10
LÓTICO,0,0,0,7.1,22,0,0,0,0,1,250,0.91,0,100,0,1,1,224.24,1624,10
LÓTICO,1,0,0,7.6,24.6,0,0,0,0,1,250,0.552,1,90,1,1,1,192.27,1216,10
LÓTICO,1,0,0,7.2,23.1,1,0,0,0,1,150,0.4635,1,64,1,0,1,205.56,1575,10
LÓTICO,1,0,0,8.1,23.3,0,0,0,0,1,150,0.40244,1,80,0,1,1,201.41,1835,10
LÓTICO,1,0,0,7.2,15.9,0,0,0,0,1,200,1.5593,0,70,1,1,1,134.6,1694,10
LÓTICO,1,0,0,7.8,21.9,,,,0,1,200,,0,60,1,0,1,218.78,1533,10
LÓTICO,1,0,0,7.5,27.7,0,0,0,0,0,400,0.76206,0,130,0,0,0,282.39,1840,10
LÓTICO,1,0,0,7.2,21.8,0,0,0,0,1,100,0.39875,0,150,0,1,1,215.73,1295,15.2
LÓTICO,1,0,0,7.1,23.3,0,0,0,0,1,150,1.16905,1,90,0,1,1,236.46,1210,10
LÓTICO,1,0,0,7.2,22.3,0,0,0,0,1,200,1.08458,0,240,1,1,1,187.24,1186,10
LÓTICO,1,0,0,7.3,21.8,0,0,0,0,0,250,1.339,0,195,0,0,1,253.13,1638,10
LÓTICO,1,0,0,7.1,24.7,0,0,0,0,0,300,1.303,0,110,1,1,1,251.7,1976,10
LÓTICO,1,0,0,7,27.9,0,,0,0,0,300,1.83,0,185,1,1,1,267.12,2036,10
LÓTICO,1,0,0,7.3,22.3,0,0,0,,1,90,0.591,0,40,0,1,1,228.26,1363,17.8
LÓTICO,1,0,0,7.7,24.3,1,0,0,0,1,200,1.365,1,35,0,1,1,198.52,1347,10
LÓTICO,1,0,0,7.7,20.4,0,0,0,0,1,400,1.371,0,160,0,0,1,252.7,1430,10
LÓTICO,1,0,0,7.5,16.9,0,0,0,0,0,200,0.731,0,120,1,1,1,217.745,1469,21.6
LÓTICO,1,0,0,7.2,23.3,,,,0,1,300,0.807,0,120,0,1,1,206.22,1549,10
LÓTICO,1,0,0,7.1,23.6,,,,0,0,200,0.182,0,110,1,1,1,241.164,2019,10
